Board Data,Root,Branch,Move
eee/p../.pp,0,1,1
e.e/pe./.pp,1,1,2
ee./p.e/.pp,1,2,2
e.e/e../.pp,1,3,2
e.e/pep/.p.,1,1,3
e.e/pp./.p.,1,2,3
e../ppe/.p.,2,1,4
e../pe./.p.,2,2,4
..e/pe./.p.,2,3,4
p.e/.e./.p.,3,1,5
ep./p.e/.p.,1,1,5
e../ppp/...,1,2,5
p../p../.p.,1,3,5
.../pep/...,2,1,6
p../.ep/...,1,1,7
..p/pe./...,1,2,7
ee./ppe/..p,2,1,3
ep./..e/.pp,2,2,3
ee./p.p/..p,2,3,3
.e./pee/..p,1,1,4
e../epe/..p,1,2,4
pe./.ee/..p,1,1,5
.p./.ee/..p,1,2,5
ep./e.e/..p,2,1,5
p../e.e/..p,2,2,5
e../e.p/..p,3,1,5
e../p.e/..p,3,2,5
e.p/e../..p,1,1,6
e.e/e.p/.p.,3,1,3
e.e/p../..p,3,2,3
e.e/..p/ep.,1,1,4
e.e/..p/.e.,1,2,4
e../p.e/..p,2,1,4
